src,tar,src_type,tar_type
net1,U_AND1,net,cell
S_n,U_AND1,net,cell
U_AND1,G1,cell,net
net2,U_AND2,net,cell
net3,U_AND2,net,cell
U_AND2,G2,cell,net
net3,U_INV,net,cell
U_INV,S_n,cell,net
G1,U_OR,net,cell
G2,U_OR,net,cell
U_OR,net4,cell,net
A,input1,net,cell
input1,net1,cell,net
B,input2,net,cell
input2,net2,cell,net
S,input3,net,cell
input3,net3,cell,net
net4,output4,net,cell
output4,Y,cell,net
