src,tar,src_type,tar_type
U_AND1/A,U_AND1,pin,cell
U_AND1/B,U_AND1,pin,cell
U_AND1,U_AND1/X,cell,pin
U_AND2/A,U_AND2,pin,cell
U_AND2/B,U_AND2,pin,cell
U_AND2,U_AND2/X,cell,pin
U_INV/A,U_INV,pin,cell
U_INV,U_INV/Y,cell,pin
U_OR/A,U_OR,pin,cell
U_OR/B,U_OR,pin,cell
U_OR,U_OR/X,cell,pin
input1/A,input1,pin,cell
input1,input1/X,cell,pin
input2/A,input2,pin,cell
input2,input2/X,cell,pin
input3/A,input3,pin,cell
input3,input3/X,cell,pin
output4/A,output4,pin,cell
output4,output4/X,cell,pin
